country,year,life_satisfaction,DATAFLOW,LAST UPDATE,freq
Albania,2018,5.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Albania,2021,5.7,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Austria,2013,7.8,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Austria,2018,8.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Austria,2021,8.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Austria,2022,7.9,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Austria,2023,7.7,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Belgium,2013,7.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Belgium,2018,7.6,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Belgium,2021,7.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Belgium,2022,7.6,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Belgium,2023,7.7,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Bulgaria,2013,4.8,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Bulgaria,2018,5.4,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Bulgaria,2021,5.7,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Bulgaria,2022,5.6,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Bulgaria,2023,5.9,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Switzerland,2013,8.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Switzerland,2018,8.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Switzerland,2021,7.9,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Switzerland,2022,8.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Switzerland,2023,7.8,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Cyprus,2013,6.2,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Cyprus,2018,7.1,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Cyprus,2021,6.8,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Cyprus,2022,7.2,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Cyprus,2023,7.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Czechia,2013,6.9,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Czechia,2018,7.4,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Czechia,2021,7.3,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Czechia,2022,7.4,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Czechia,2023,7.4,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Germany,2013,7.3,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Germany,2018,7.4,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Germany,2022,6.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Germany,2023,7.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Denmark,2013,8.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Denmark,2018,7.8,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Denmark,2021,7.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Denmark,2022,7.6,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Denmark,2023,7.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Euro area – 20 countries (from 2023),2022,7.1,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Euro area – 20 countries (from 2023),2023,7.2,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Estonia,2013,6.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Estonia,2018,7.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Estonia,2021,7.2,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Estonia,2022,7.2,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Estonia,2023,7.2,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Greece,2013,6.2,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Greece,2018,6.4,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Greece,2021,6.8,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Greece,2022,6.7,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Greece,2023,6.9,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Spain,2013,6.9,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Spain,2018,7.3,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Spain,2021,7.2,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Spain,2022,7.1,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Spain,2023,7.2,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
European Union - 27 countries (from 2020),2013,7.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
European Union - 27 countries (from 2020),2018,7.3,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
European Union - 27 countries (from 2020),2022,7.1,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
European Union - 27 countries (from 2020),2023,7.3,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Finland,2013,8.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Finland,2018,8.1,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Finland,2021,8.1,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Finland,2022,7.9,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Finland,2023,7.8,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
France,2013,7.1,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
France,2018,7.3,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
France,2021,6.8,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
France,2022,7.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
France,2023,7.1,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Croatia,2013,6.4,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Croatia,2018,6.3,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Croatia,2021,6.8,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Croatia,2022,6.8,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Croatia,2023,7.1,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Hungary,2013,6.1,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Hungary,2018,6.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Hungary,2021,6.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Hungary,2022,6.9,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Hungary,2023,7.2,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Ireland,2013,7.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Ireland,2018,8.1,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Ireland,2021,7.3,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Ireland,2022,7.4,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Ireland,2023,7.6,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Iceland,2013,8.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Iceland,2018,8.1,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Italy,2013,6.6,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Italy,2018,7.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Italy,2021,7.2,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Italy,2022,7.2,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Italy,2023,7.2,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Lithuania,2013,6.7,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Lithuania,2018,6.4,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Lithuania,2021,7.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Lithuania,2022,7.1,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Lithuania,2023,7.2,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Luxembourg,2013,7.4,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Luxembourg,2018,7.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Luxembourg,2021,7.4,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Luxembourg,2022,7.2,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Luxembourg,2023,7.3,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Latvia,2013,6.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Latvia,2018,6.7,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Latvia,2021,6.7,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Latvia,2022,6.8,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Latvia,2023,6.9,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Montenegro,2013,5.7,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Montenegro,2018,6.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Montenegro,2021,6.4,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Montenegro,2022,5.8,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
North Macedonia,2018,6.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
North Macedonia,2021,5.7,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
North Macedonia,2022,5.4,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Malta,2013,7.1,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Malta,2018,7.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Malta,2021,7.1,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Malta,2022,7.4,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Malta,2023,7.4,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Netherlands,2013,7.8,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Netherlands,2018,7.7,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Netherlands,2021,7.7,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Netherlands,2022,7.7,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Netherlands,2023,7.6,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Norway,2013,7.9,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Norway,2018,8.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Norway,2021,7.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Norway,2022,7.7,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Norway,2023,7.6,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Poland,2013,7.3,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Poland,2018,7.7,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Poland,2021,7.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Poland,2022,7.7,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Poland,2023,7.6,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Portugal,2013,6.2,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Portugal,2018,6.7,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Portugal,2022,7.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Portugal,2023,7.1,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Romania,2013,7.2,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Romania,2018,7.4,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Romania,2021,7.7,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Romania,2022,7.7,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Romania,2023,7.7,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Serbia,2013,5.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Serbia,2018,5.6,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Serbia,2021,5.9,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Serbia,2022,6.1,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Serbia,2023,6.4,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Sweden,2013,7.9,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Sweden,2018,7.8,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Sweden,2021,7.6,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Sweden,2022,7.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Sweden,2023,7.5,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Slovenia,2013,7.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Slovenia,2018,7.2,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Slovenia,2021,7.6,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Slovenia,2022,7.6,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Slovenia,2023,7.7,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Slovakia,2013,7.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Slovakia,2018,7.1,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Slovakia,2021,7.1,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Slovakia,2022,7.0,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Slovakia,2023,7.3,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Türkiye,2013,5.8,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Türkiye,2018,5.7,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Türkiye,2021,5.6,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Türkiye,2022,5.4,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Türkiye,2023,5.6,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
United Kingdom,2013,7.3,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
United Kingdom,2018,7.6,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
Kosovo*,2018,5.9,ESTAT:ILC_PW01(1.0),16/06/25 23:00:00,Annual
